n;percent;avg_all;avg_1;avg_2
1;10;11,0331753555;18,8373205742;7,0380952381
1;20;31,0;16,2115384615;23,0
1;30;7,87735849057;27,6261682243;9,83018867925
1;40;10,2358490566;1,13333333333;5,72380952381
1;50;7,15094339623;12,0;1,33333333333
1;60;1,94230769231;3,39047619048;17,8113207547
1;70;5,33333333333;4,27884615385;4,55660377358
1;80;15,5283018868;4,84905660377;5,69230769231
1;90;9,61682242991;9,61682242991;10,1214953271
2;10;0,959183673469;2,8125;24,88
2;20;0,94;1,0;2,79591836735
2;30;50,46;0,979591836735;0,96
2;40;63,42;24,4489795918;1,0612244898
2;50;1,12244897959;1,38;3,28571428571
2;60;1,34693877551;2,42;13,4897959184
2;70;2,10204081633;5,14285714286;11,4081632653
2;80;23,36;37,96;6,12244897959
2;90;3,58;12,34;11,82
3;10;36,8113207547;0,962962962963;16,5794392523
3;20;10,5925925926;9,61682242991;1,0
3;30;15,1296296296;2,63888888889;2,79439252336
3;40;25,6111111111;8,08333333333;1,2523364486
3;50;1,61467889908;1,72222222222;1,81651376147
3;60;11,8952380952;2,76635514019;5,66666666667
3;70;2,71962616822;5,46296296296;9,78703703704
3;80;4,33644859813;9,27777777778;10,0
3;90;10,3240740741;17,495412844;22,1926605505
4;10;36,2658227848;3,27272727273;3,14102564103
4;20;7,77631578947;3,41025641026;19,9350649351
4;30;12,5897435897;1,05194805195;1,07692307692
4;40;30,2467532468;1,30769230769;1,30769230769
4;50;17,5714285714;9,68831168831;2,51898734177
4;60;2,17948717949;7,48717948718;3,48051948052
4;70;43,1025641026;6,89743589744;7,18987341772
4;80;41,4556962025;22,7179487179;18,3974358974
4;90;20,4230769231;31,5063291139;25,2278481013
5;10;32,4324324324;3,49333333333;10,7534246575
5;20;36,3866666667;2,22368421053;4,68
5;30;5,06666666667;1,16216216216;4,18421052632
5;40;1,58666666667;6,33333333333;4,60526315789
5;50;46,0519480519;2,30263157895;2,13157894737
5;60;8,89333333333;5,03896103896;4,96052631579
5;70;20,8266666667;10,36;28,1973684211
5;80;52,7922077922;50,9473684211;22,8133333333
5;90;53,1315789474;39,9350649351;40,4285714286
6;10;48,03125;0,969696969697;0,953846153846
6;20;19,53125;6,98461538462;1,01538461538
6;30;6,4375;1,18461538462;2,63076923077
6;40;9,76923076923;1,63076923077;1,75
6;50;15,6153846154;3,18461538462;3,10606060606
6;60;49,8615384615;8,66176470588;10,1791044776
6;70;111,439393939;45,196969697;30,8307692308
6;80;120,261538462;31,0923076923;53,5909090909
6;90;97,3134328358;48,75;41,9402985075
7;10;51,1388888889;5,53521126761;3,34722222222
7;20;22,0422535211;4,875;29,2191780822
7;30;5,37142857143;19,6301369863;3,83098591549
7;40;43,2608695652;8,81944444444;2,38028169014
7;50;24,0422535211;4,55555555556;5,90410958904
7;60;92,24;20,8648648649;38,04
7;70;112,042857143;42,0410958904;48,0
7;80;98,0821917808;48,0555555556;47,397260274
7;90;149,180555556;55,2054794521;59,0
8;10;27,1772151899;7,325;8,65432098765
8;20;61,9125;1,03658536585;1,06097560976
8;30;5,11538461538;1,53658536585;15,8192771084
8;40;5,25609756098;6,5125;3,46913580247
8;50;20,1829268293;12,3170731707;10,7108433735
8;60;81,6296296296;35,1463414634;23,2317073171
8;70;104,049382716;42,9756097561;41,6707317073
8;80;167,536585366;52,0;48,0243902439
8;90;163,807228916;57,0843373494;77,619047619
